"productName","productBasePrice","productFinalPrice","stock","labelMeasurement","pictUrl"
"Sunlight Habbatussauda Pouch 220ml","Rp4.575","Rp4.150","Stock Habis","Per 1 Pcs","https://s4.bukalapak.com/general-trade/img/93523/small/eed7c05bbe0def058a40_data.png?1562904317"
"Sunlight Lime New Pouch 210ml","Rp. 0","Rp4.150","Stock Habis","Per 1 pcs","https://s1.bukalapak.com/general-trade/img/15523/small/ba355621199de4671627_data.png?1562904451"
"Mama Lime Pouch 55ml","Rp5.150","Rp4.800","Stock Habis","Per 6 pcs","https://s1.bukalapak.com/general-trade/img/17972/small/b1e3b60e5184a5f35778_data.png?1556816234"
"Ekonomi Sabun Krim Lemon 44g","Rp2.825","Rp2.480","Stock Habis","Per 1 renceng isi 6 pcs","https://s2.bukalapak.com/general-trade/img/22952/small/ad68482b62637ee786f4_data.png?1556815835"
"Ekonomi Sabun Krim 91g","Rp8.850","Rp8.250","Stock Habis","Per 10 pcs","https://s4.bukalapak.com/ast/sentinel/images/grosir/broken-image@2x-min.png"
"Ekonomi Sabun Krim Lemon 193g","Rp2.125","Rp1.760","Stock Habis","Per 1 pcs","https://s4.bukalapak.com/ast/sentinel/images/grosir/broken-image@2x-min.png"
"Ekonomi Sabun Krim Putih 91g","Rp8.850","Rp8.250","Stock Habis","Per 10 pcs","https://s4.bukalapak.com/ast/sentinel/images/grosir/broken-image@2x-min.png"
"Sunlight Lime 100ml","Rp1.600","Rp1.550","Stock Habis","Per 1 pcs","https://s3.bukalapak.com/general-trade/img/84523/small/a5ce3e66f5b65583931f_data.png?1562904425"
"Klinwash Sabut Stainless 15g","Rp17.800","Rp17.790","Stock Habis","Per 1 Pack isi 12 Pcs","https://s3.bukalapak.com/general-trade/img/89192/small/e765deb8ed9a84ed842d_52830107_10213461169905833_853507651232.jpg?1556816480"
"Sunlight Lime 95ml","Rp. 0","Rp1.550","Stock Habis","Per 1 pcs","https://s2.bukalapak.com/general-trade/img/24523/small/b7a8d8657b89c49b85a9_data.png?1562904367"
